                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6971,                  2.282,                 1.7786,                0.67221,                    0.4,                0.59768,                0.28373,                 1.4957,                 2.6091,                 1.5678,                0.00032,                0.00032,                0.00032
                      2,                 1.4783,                 1.5461,                 1.5453,                0.55764,                0.62222,                0.55847,                0.29365,                 1.4757,                 2.0986,                 1.5949,             0.00064133,             0.00064133,             0.00064133
                      3,                 1.4438,                 1.4213,                 1.5058,                0.49277,                0.62222,                0.57389,                0.30621,                 1.7075,                 1.8957,                 1.8106,             0.00094343,             0.00094343,             0.00094343
                      4,                 1.4316,                 1.3196,                 1.4593,                0.49504,                0.44444,                0.41322,                 0.1937,                 1.8944,                 2.2722,                 1.8303,              0.0012263,              0.0012263,              0.0012263
                      5,                 1.4371,                  1.321,                 1.4626,                0.38907,                0.48889,                0.37488,                0.15359,                 2.0759,                 2.2226,                 2.0396,              0.0014899,              0.0014899,              0.0014899
                      6,                 1.3967,                 1.2707,                 1.4435,                0.55338,                0.73333,                 0.5874,                 0.2903,                 1.9495,                 2.6554,                 2.2563,              0.0017171,              0.0017171,              0.0017171
                      7,                 1.3921,                 1.3146,                 1.4642,                0.74229,                0.64444,                0.71884,                0.32015,                 1.8438,                 1.8459,                 1.9745,              0.0017171,              0.0017171,              0.0017171
                      8,                 1.4202,                 1.3014,                 1.4977,                0.63785,                0.71111,                 0.6115,                0.30908,                 1.8045,                 2.1766,                 2.0259,              0.0016606,              0.0016606,              0.0016606
                      9,                 1.3725,                  1.187,                 1.4533,                0.76746,                0.75556,                0.76413,                0.39316,                   1.71,                 1.4537,                 1.7281,               0.001604,               0.001604,               0.001604
                     10,                 1.3554,                 1.1423,                 1.4099,                 0.6371,                0.71111,                0.65473,                0.32206,                 1.7243,                 1.8087,                 1.8269,              0.0015474,              0.0015474,              0.0015474
                     11,                 1.2992,                 1.0949,                 1.3928,                0.77368,                0.64444,                0.75092,                  0.365,                 1.6767,                 1.5129,                 1.8832,              0.0014909,              0.0014909,              0.0014909
                     12,                 1.3232,                 1.0527,                 1.3828,                0.74018,                0.66667,                0.67848,                0.35584,                 1.7432,                 1.4006,                 1.8162,              0.0014343,              0.0014343,              0.0014343
                     13,                 1.3121,                  1.052,                  1.389,                0.62514,                0.70421,                0.66633,                 0.3324,                 1.7386,                 1.3891,                 1.8075,              0.0013777,              0.0013777,              0.0013777
                     14,                 1.2357,                0.98833,                  1.336,                0.82715,                    0.8,                0.80187,                 0.4342,                  1.574,                 1.2432,                 1.6114,              0.0013211,              0.0013211,              0.0013211
                     15,                 1.2706,                0.97125,                 1.3663,                0.76323,                0.73333,                0.77678,                0.38461,                 1.6867,                 1.2801,                 1.6722,              0.0012646,              0.0012646,              0.0012646
                     16,                 1.3433,                 1.0035,                 1.4124,                0.76529,                0.62222,                0.72371,                0.35501,                 1.8607,                 1.3718,                 1.9681,               0.001208,               0.001208,               0.001208
                     17,                 1.2584,                0.95501,                 1.3401,                0.83059,                0.82222,                0.86236,                0.46823,                 1.5863,                 1.2307,                 1.6381,              0.0011514,              0.0011514,              0.0011514
                     18,                 1.1789,                0.88455,                  1.289,                0.84012,                 0.8175,                 0.8144,                0.41716,                 1.8045,                  1.005,                 1.8205,              0.0010949,              0.0010949,              0.0010949
                     19,                 1.2043,                0.90038,                 1.2923,                0.81505,                    0.8,                0.86301,                0.40721,                 1.7814,                 1.0628,                 1.7864,              0.0010383,              0.0010383,              0.0010383
                     20,                 1.1452,                0.87624,                 1.2888,                0.85286,                0.77778,                 0.8169,                0.48343,                 1.6116,                 1.0495,                 1.6619,             0.00098171,             0.00098171,             0.00098171
                     21,                 1.0939,                0.82046,                 1.2566,                0.79938,                0.75556,                0.80533,                0.46478,                  1.596,                 1.0032,                 1.6112,             0.00092514,             0.00092514,             0.00092514
                     22,                 1.0908,                0.81295,                 1.2407,                0.76563,                0.82222,                0.81198,                0.44605,                 1.5892,                 1.0164,                 1.6622,             0.00086857,             0.00086857,             0.00086857
                     23,                 1.0705,                0.77946,                 1.2346,                0.80474,                0.86667,                0.86499,                 0.4316,                 1.6786,                 0.9598,                 1.7027,               0.000812,               0.000812,               0.000812
                     24,                 1.1017,                0.81452,                 1.2516,                0.90121,                0.81105,                0.90058,                0.49664,                  1.506,                0.95099,                 1.5298,             0.00075543,             0.00075543,             0.00075543
                     25,                 1.0269,                0.76892,                 1.1959,                0.87584,                0.82222,                0.87607,                0.45636,                 1.6206,                 1.0504,                 1.6119,             0.00069886,             0.00069886,             0.00069886
                     26,                0.96515,                0.78418,                  1.219,                0.82424,                0.72959,                0.79162,                0.38205,                 1.8293,                 1.2211,                 1.9058,             0.00064229,             0.00064229,             0.00064229
                     27,                0.93573,                0.65234,                 1.2007,                 0.8558,                0.77778,                0.84408,                0.45636,                 1.5318,                 1.0013,                 1.6937,             0.00058571,             0.00058571,             0.00058571
                     28,                0.86215,                0.60292,                 1.1401,                0.81013,                0.84444,                0.86278,                0.48151,                 1.5801,                 1.0289,                 1.6316,             0.00052914,             0.00052914,             0.00052914
                     29,                 0.8596,                 0.5829,                 1.1281,                0.84479,                0.88889,                0.87319,                0.44926,                 1.6322,                0.99748,                 1.6745,             0.00047257,             0.00047257,             0.00047257
                     30,                0.83073,                0.56934,                 1.1295,                0.82208,                0.82143,                0.83753,                0.49718,                 1.5777,                 1.0312,                 1.6653,               0.000416,               0.000416,               0.000416
                     31,                0.82228,                0.57214,                 1.1376,                 0.8766,                0.78944,                0.86075,                0.48349,                 1.4866,                0.99966,                 1.5755,             0.00035943,             0.00035943,             0.00035943
