                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3411,                 1.9654,                 1.5101,                0.78733,                0.51825,                0.65413,                0.41511,                 1.4275,                 1.9552,                  1.548,             0.00046681,             0.00046681,             0.00046681
                      2,                 1.2318,                 1.2903,                 1.4159,                0.74892,                0.72993,                0.79534,                0.49379,                 1.3831,                 1.5615,                 1.4672,             0.00091646,             0.00091646,             0.00091646
                      3,                 1.2492,                 1.2157,                 1.3979,                0.68668,                0.63504,                0.68066,                0.38215,                 1.7157,                 1.7439,                 1.7781,              0.0013392,              0.0013392,              0.0013392
                      4,                 1.2389,                 1.1367,                 1.3867,                0.77357,                0.78832,                0.82344,                 0.4815,                 1.4675,                 1.4278,                 1.5856,              0.0013077,              0.0013077,              0.0013077
                      5,                 1.1413,                 1.0155,                 1.3102,                0.85959,                0.62563,                0.77094,                0.46693,                 1.4759,                 1.5095,                 1.6769,              0.0013077,              0.0013077,              0.0013077
                      6,                 1.1717,                 1.0052,                 1.3254,                 0.8847,                0.68613,                 0.8407,                0.50782,                 1.3338,                 1.2174,                 1.4092,              0.0012673,              0.0012673,              0.0012673
                      7,                 1.1314,                0.93825,                 1.2918,                0.82911,                0.74453,                0.81884,                0.49504,                 1.4344,                 1.1718,                 1.5111,              0.0012269,              0.0012269,              0.0012269
                      8,                 1.0968,                0.85275,                 1.2753,                0.80479,                0.72224,                0.81865,                0.47948,                 1.4474,                 1.1724,                  1.545,              0.0011865,              0.0011865,              0.0011865
                      9,                 1.1048,                0.85696,                 1.2739,                0.81454,                0.86558,                0.93208,                 0.6366,                  1.267,                0.86139,                 1.3541,              0.0011461,              0.0011461,              0.0011461
                     10,                 1.0679,                0.81873,                 1.2598,                0.86437,                0.83942,                0.91771,                0.58658,                 1.3919,                0.85958,                 1.4468,              0.0011056,              0.0011056,              0.0011056
                     11,                 1.0549,                0.77573,                 1.2419,                0.82984,                0.80292,                0.88783,                0.58278,                 1.2466,                0.85397,                 1.3514,              0.0010652,              0.0010652,              0.0010652
                     12,                 1.0441,                0.76375,                 1.2272,                0.84423,                0.87036,                 0.9216,                 0.5779,                 1.3765,                 0.8884,                  1.409,              0.0010248,              0.0010248,              0.0010248
                     13,                 1.0252,                  0.762,                 1.2369,                 0.8331,                0.80292,                 0.8743,                0.55175,                 1.3811,                0.89768,                  1.429,             0.00098438,             0.00098438,             0.00098438
                     14,                 1.0151,                0.74812,                 1.2016,                0.82846,                0.84672,                0.87151,                0.57258,                 1.3668,                0.87508,                 1.4688,             0.00094396,             0.00094396,             0.00094396
                     15,                 1.0043,                0.72942,                 1.2142,                0.87796,                0.82482,                0.91196,                  0.587,                 1.2345,                0.72698,                 1.3101,             0.00090354,             0.00090354,             0.00090354
                     16,                0.98977,                0.68494,                 1.1934,                0.91567,                 0.8718,                0.94672,                0.62973,                   1.19,                0.70884,                   1.31,             0.00086312,             0.00086312,             0.00086312
                     17,                0.95539,                 0.6469,                   1.18,                0.84975,                0.90822,                0.92806,                0.61324,                 1.1973,                0.72609,                 1.3113,              0.0008227,              0.0008227,              0.0008227
                     18,                0.97751,                 0.6779,                 1.1895,                0.94657,                0.86131,                 0.9466,                0.62636,                 1.1721,                0.70917,                  1.276,             0.00078228,             0.00078228,             0.00078228
                     19,                0.94871,                 0.6512,                 1.1698,                0.91763,                0.83212,                0.93611,                0.62228,                 1.2436,                0.71067,                 1.3595,             0.00074186,             0.00074186,             0.00074186
                     20,                0.91573,                0.62591,                 1.1674,                0.87608,                0.87729,                0.93719,                0.63265,                 1.2246,                0.66724,                 1.3375,             0.00070143,             0.00070143,             0.00070143
                     21,                0.92509,                0.61966,                  1.159,                0.87567,                0.92534,                 0.9577,                0.65847,                 1.1507,                0.60277,                 1.2693,             0.00066101,             0.00066101,             0.00066101
                     22,                0.89575,                0.59875,                 1.1481,                0.89187,                0.91241,                0.95093,                 0.6533,                 1.1799,                0.65319,                 1.3106,             0.00062059,             0.00062059,             0.00062059
                     23,                0.88603,                0.60571,                 1.1443,                0.93308,                0.84672,                0.94779,                0.66035,                  1.139,                0.61344,                 1.2565,             0.00058017,             0.00058017,             0.00058017
                     24,                0.86553,                  0.583,                 1.1359,                0.84585,                0.86861,                0.92186,                 0.6389,                 1.2086,                0.65436,                 1.3215,             0.00053975,             0.00053975,             0.00053975
                     25,                0.85963,                0.57327,                 1.1198,                0.83685,                0.91971,                0.93515,                0.65121,                 1.1842,                0.62464,                 1.3001,             0.00049933,             0.00049933,             0.00049933
                     26,                0.80906,                 0.5161,                 1.1355,                0.89558,                0.87643,                0.93457,                0.61391,                 1.2287,                0.68894,                 1.3489,             0.00045891,             0.00045891,             0.00045891
                     27,                0.80613,                0.47626,                 1.1105,                0.86074,                0.90233,                0.92787,                 0.6345,                 1.1768,                0.61657,                 1.2843,             0.00041849,             0.00041849,             0.00041849
                     28,                0.73319,                0.44841,                 1.0799,                0.87506,                0.91241,                0.95299,                0.65785,                 1.1668,                0.61089,                 1.3035,             0.00037807,             0.00037807,             0.00037807
                     29,                0.73962,                0.45469,                 1.0884,                0.90721,                0.86131,                 0.9386,                 0.6334,                 1.2041,                 0.6087,                   1.35,             0.00033765,             0.00033765,             0.00033765
                     30,                0.72965,                0.44458,                  1.079,                0.90163,                0.85401,                0.94586,                0.65744,                 1.1527,                0.57743,                  1.322,             0.00029723,             0.00029723,             0.00029723
                     31,                0.70621,                0.41875,                 1.0566,                0.92419,                 0.8899,                0.93831,                0.65108,                 1.1526,                0.56581,                 1.2907,             0.00025681,             0.00025681,             0.00025681
                     32,                0.69322,                0.40826,                 1.0571,                0.89687,                0.89051,                0.94091,                0.66246,                 1.1336,                0.57883,                 1.2731,             0.00021639,             0.00021639,             0.00021639
                     33,                0.67471,                0.38929,                 1.0476,                0.92866,                 0.8552,                0.93996,                0.65994,                 1.1406,                0.58125,                 1.2788,             0.00017597,             0.00017597,             0.00017597
                     34,                0.66095,                0.38397,                 1.0272,                0.90496,                0.88321,                0.94582,                0.67248,                 1.1302,                0.56564,                 1.2714,             0.00013555,             0.00013555,             0.00013555
                     35,                0.63276,                0.37025,                 1.0222,                0.92258,                0.85401,                0.93395,                0.66325,                 1.1221,                0.58434,                 1.2688,             9.5131e-05,             9.5131e-05,             9.5131e-05
