                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6349,                 2.7691,                 1.7027,                0.00383,                      1,                0.59348,                0.26523,                  1.535,                 2.9879,                  1.803,                0.00014,                0.00014,                0.00014
                      2,                 1.4778,                 1.9615,                 1.5569,                0.71421,                0.76101,                0.72066,                0.30051,                 1.4368,                 2.5709,                 1.7244,              0.0002901,              0.0002901,              0.0002901
                      3,                 1.3417,                 1.5418,                 1.4018,                0.73645,                0.65217,                0.74317,                0.31843,                 1.5708,                  2.614,                 1.8507,             0.00042964,             0.00042964,             0.00042964
                      4,                 1.3067,                 1.5175,                 1.3926,                0.93608,                0.63732,                0.84073,                0.40649,                 1.4821,                 2.2466,                 1.7879,             0.00055862,             0.00055862,             0.00055862
                      5,                 1.2736,                 1.4702,                 1.3619,                0.79594,                0.52174,                0.60739,                0.29787,                  1.901,                 2.4026,                 2.0504,             0.00067704,             0.00067704,             0.00067704
                      6,                 1.1924,                 1.3121,                 1.2789,                0.73139,                0.59249,                0.62617,                0.36203,                 1.8022,                 2.2999,                 2.0618,              0.0007849,              0.0007849,              0.0007849
                      7,                 1.2826,                 1.3428,                 1.3264,                0.95905,                0.56522,                0.76231,                0.39657,                  1.585,                 2.1715,                 1.8878,              0.0008822,              0.0008822,              0.0008822
                      8,                 1.2814,                 1.3549,                 1.3512,                0.61264,                0.61921,                0.63719,                0.32468,                 1.7599,                 1.9821,                 2.0156,             0.00096894,             0.00096894,             0.00096894
                      9,                 1.3071,                 1.3572,                 1.3501,                0.65163,                0.52174,                0.62262,                0.33997,                 1.6107,                  2.074,                 1.8188,              0.0010451,              0.0010451,              0.0010451
                     10,                 1.2512,                  1.191,                 1.3205,                 0.5101,                0.69565,                0.51237,                0.24134,                 1.8536,                 2.1309,                 1.9866,              0.0011107,              0.0011107,              0.0011107
                     11,                 1.2235,                 1.2114,                 1.3036,                0.40197,                 0.6087,                0.46862,                 0.1784,                 1.9512,                 2.2551,                 2.0697,              0.0011658,              0.0011658,              0.0011658
                     12,                  1.211,                 1.2667,                 1.3274,                0.65697,                0.52174,                0.53929,                0.24192,                 1.9725,                 2.0938,                 2.1657,              0.0012103,              0.0012103,              0.0012103
                     13,                 1.2317,                 1.1991,                 1.3126,                 0.7261,                0.46176,                0.52125,                0.24747,                 2.5139,                 2.1645,                 2.5737,               0.001208,               0.001208,               0.001208
                     14,                 1.2249,                 1.1321,                 1.3124,                0.77264,                0.47826,                0.56546,                0.31285,                  1.911,                 1.9952,                 2.0511,               0.001208,               0.001208,               0.001208
                     15,                 1.2046,                 1.1436,                  1.282,                0.72448,                0.56522,                  0.595,                0.29503,                 1.8627,                 1.9689,                 1.9535,               0.001142,               0.001142,               0.001142
                     16,                 1.1561,                 1.1009,                 1.2891,                0.77878,                0.52174,                0.68052,                0.30973,                 1.8688,                 1.8642,                 1.9872,               0.001076,               0.001076,               0.001076
                     17,                 1.1125,                  1.071,                 1.2551,                0.85561,                0.77328,                0.84731,                 0.3793,                 1.8433,                 1.9345,                 1.9768,                0.00101,                0.00101,                0.00101
                     18,                   1.07,                 1.0026,                 1.2387,                0.88272,                0.78261,                0.85065,                0.39287,                  1.841,                 1.6805,                 2.0472,               0.000944,               0.000944,               0.000944
                     19,                   1.05,                0.96296,                 1.2396,                0.80251,                0.78261,                0.79843,                0.30597,                 1.9767,                 1.7455,                  2.231,               0.000878,               0.000878,               0.000878
                     20,                 1.0989,                 1.0109,                 1.2399,                0.88978,                0.82609,                0.83894,                0.36142,                 1.7785,                  1.464,                 2.0145,               0.000812,               0.000812,               0.000812
                     21,                0.97687,                 1.1052,                 1.2353,                0.86632,                 0.6087,                0.67061,                0.33217,                 1.7588,                 1.6128,                 1.9926,               0.000746,               0.000746,               0.000746
                     22,                0.82268,                0.92617,                 1.1075,                0.73896,                0.61569,                0.65417,                0.35004,                 1.8166,                 1.6756,                  2.208,                0.00068,                0.00068,                0.00068
                     23,                0.85022,                0.95315,                 1.1209,                0.75422,                0.56522,                0.65197,                  0.374,                 1.6246,                 1.6843,                 1.9132,               0.000614,               0.000614,               0.000614
                     24,                0.74248,                0.83878,                 1.0939,                0.79081,                0.69565,                0.70319,                0.39669,                 1.6611,                 1.6789,                 1.9287,               0.000548,               0.000548,               0.000548
                     25,                0.76073,                0.80043,                 1.0714,                0.81039,                0.69565,                0.74052,                0.40794,                 1.6603,                 1.7431,                 1.9438,               0.000482,               0.000482,               0.000482
                     26,                0.73678,                0.79748,                  1.062,                0.80582,                0.73913,                0.72604,                0.38873,                 1.7286,                 1.6109,                 1.9982,               0.000416,               0.000416,               0.000416
                     27,                0.69442,                0.75139,                 1.0643,                0.82537,                0.78261,                0.79702,                0.43549,                 1.7097,                 1.3966,                 1.9638,                0.00035,                0.00035,                0.00035
                     28,                0.69414,                0.74932,                 1.0464,                0.92082,                0.82609,                0.84927,                0.47349,                 1.5713,                 1.1969,                 1.8366,               0.000284,               0.000284,               0.000284
                     29,                0.68618,                0.72836,                 1.0223,                      1,                0.86436,                0.87383,                0.49495,                 1.5979,                 1.1762,                 1.8557,               0.000218,               0.000218,               0.000218
                     30,                0.65529,                0.70783,                 1.0257,                0.93645,                0.73913,                0.82223,                0.47124,                 1.5836,                 1.2261,                   1.85,               0.000152,               0.000152,               0.000152
