                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5449,                 2.5237,                  1.623,                0.16992,                0.96296,                0.70646,                 0.3178,                 1.3959,                 2.5719,                 1.6533,                0.00028,                0.00028,                0.00028
                      2,                  1.325,                  1.674,                 1.4078,                0.82418,                0.52098,                0.76014,                0.40943,                 1.5057,                 2.2416,                 1.7757,             0.00056359,             0.00056359,             0.00056359
                      3,                 1.2983,                 1.5123,                 1.3634,                 0.5931,                0.25926,                0.35098,                 0.1767,                 2.3432,                 2.7677,                 2.3364,             0.00083022,             0.00083022,             0.00083022
                      4,                  1.331,                 1.3887,                 1.3309,                0.64975,                0.54987,                0.54651,                0.23537,                 1.8305,                 2.3901,                 2.0112,              0.0010799,              0.0010799,              0.0010799
                      5,                 1.2931,                 1.3676,                  1.346,                0.62392,                0.67612,                0.62943,                0.31392,                 1.8963,                 2.5118,                 2.1578,              0.0013125,              0.0013125,              0.0013125
                      6,                   1.29,                 1.3471,                 1.3384,                0.61639,                  0.536,                0.57089,                0.23656,                 2.3516,                 2.8947,                  2.691,              0.0015283,              0.0015283,              0.0015283
                      7,                 1.3724,                 1.3176,                 1.3839,                0.59781,                 0.2963,                0.35863,                0.14619,                 2.4555,                 2.4438,                 2.5273,              0.0016606,              0.0016606,              0.0016606
                      8,                 1.3344,                 1.2868,                 1.3531,                0.42205,                0.40741,                0.30254,                0.14759,                 2.1936,                 2.2488,                  2.448,              0.0016606,              0.0016606,              0.0016606
                      9,                  1.238,                 1.1691,                 1.2879,                0.42822,                0.37037,                0.37326,                  0.191,                  2.241,                 2.4093,                 2.3952,               0.001604,               0.001604,               0.001604
                     10,                 1.2442,                 1.1501,                 1.2837,                0.78106,                0.55556,                0.61434,                0.29882,                 1.9891,                 1.9069,                  2.156,              0.0015474,              0.0015474,              0.0015474
                     11,                  1.188,                 1.0616,                  1.265,                0.79006,                0.69715,                0.73429,                0.34989,                 1.9929,                 1.5388,                 2.1401,              0.0014909,              0.0014909,              0.0014909
                     12,                 1.1542,                 1.0423,                 1.2407,                0.75821,                0.69709,                0.63805,                0.35202,                   1.81,                  1.577,                 2.0443,              0.0014343,              0.0014343,              0.0014343
