                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6989,                 3.5766,                 1.4797,                0.58083,                0.16741,                0.19817,                0.11554,                 1.5336,                 2.7575,                 1.4096,             0.00015019,             0.00015019,             0.00015019
                      2,                 1.5197,                 2.0868,                 1.3415,                0.17581,                0.46355,                0.27539,                 0.1588,                 1.5239,                 1.8969,                  1.422,             0.00029439,             0.00029439,             0.00029439
                      3,                 1.4606,                 1.8129,                 1.3047,                0.22567,                0.61393,                 0.3432,                0.20468,                 1.4318,                 1.7227,                 1.3541,             0.00043108,             0.00043108,             0.00043108
                      4,                 1.4212,                 1.6654,                 1.2683,                0.27657,                0.60739,                0.35943,                0.20728,                 1.4198,                 1.7291,                 1.3516,             0.00042122,             0.00042122,             0.00042122
                      5,                 1.4179,                 1.5579,                 1.2645,                0.27848,                0.67815,                0.39904,                0.23548,                 1.4319,                 1.5309,                 1.3687,             0.00042122,             0.00042122,             0.00042122
                      6,                 1.3624,                 1.4891,                 1.2533,                0.37208,                0.63056,                0.45192,                0.27103,                 1.3987,                 1.4931,                 1.3191,             0.00040995,             0.00040995,             0.00040995
                      7,                  1.338,                 1.4185,                 1.2348,                0.37703,                 0.6248,                0.47878,                0.28737,                 1.4131,                 1.4294,                 1.3452,             0.00039869,             0.00039869,             0.00039869
                      8,                 1.3321,                 1.3955,                 1.2339,                0.45624,                0.68437,                 0.5744,                0.35185,                 1.3555,                 1.3366,                 1.3113,             0.00038743,             0.00038743,             0.00038743
                      9,                  1.324,                 1.3049,                 1.2222,                0.47112,                0.69285,                0.61266,                0.39427,                 1.3459,                 1.3087,                 1.2967,             0.00037617,             0.00037617,             0.00037617
                     10,                 1.2842,                 1.2548,                 1.2065,                0.58739,                0.73885,                0.69488,                0.43799,                 1.3513,                 1.2101,                 1.3228,             0.00036491,             0.00036491,             0.00036491
                     11,                 1.2866,                  1.214,                 1.1956,                0.62483,                0.74805,                0.74921,                 0.4861,                 1.3206,                 1.1725,                 1.2742,             0.00035365,             0.00035365,             0.00035365
                     12,                  1.253,                 1.1493,                 1.1904,                0.74803,                0.77738,                0.80841,                0.50789,                 1.3156,                 1.0811,                 1.2817,             0.00034239,             0.00034239,             0.00034239
                     13,                 1.2422,                 1.1016,                 1.1814,                0.74162,                0.80325,                0.82449,                0.51585,                 1.3581,                 1.0353,                 1.3026,             0.00033113,             0.00033113,             0.00033113
                     14,                 1.2436,                 1.0818,                 1.1843,                0.83008,                0.75039,                0.84676,                0.54496,                 1.3258,                0.98201,                 1.2775,             0.00031986,             0.00031986,             0.00031986
                     15,                 1.2333,                 1.0384,                 1.1658,                0.81971,                0.83639,                0.86162,                0.54734,                 1.3225,                0.96419,                 1.2687,              0.0003086,              0.0003086,              0.0003086
                     16,                  1.221,                 1.0167,                  1.167,                0.83711,                0.83714,                 0.8816,                0.56256,                 1.3142,                0.94465,                 1.2611,             0.00029734,             0.00029734,             0.00029734
                     17,                 1.1855,                0.96422,                 1.1443,                0.81825,                0.81675,                0.87445,                0.56387,                 1.2969,                0.94747,                  1.246,             0.00028608,             0.00028608,             0.00028608
                     18,                  1.196,                0.95075,                 1.1442,                0.82994,                0.82441,                0.86501,                0.56032,                  1.298,                0.96345,                 1.2482,             0.00027482,             0.00027482,             0.00027482
                     19,                 1.1783,                 0.9452,                 1.1557,                0.84739,                0.83629,                0.87747,                0.57361,                 1.2475,                0.90786,                 1.2411,             0.00026356,             0.00026356,             0.00026356
                     20,                 1.1735,                0.92639,                  1.139,                0.88078,                0.82956,                0.90079,                0.58515,                 1.2663,                0.86008,                 1.2265,              0.0002523,              0.0002523,              0.0002523
                     21,                 1.1798,                0.91136,                 1.1412,                0.89508,                0.81652,                0.89032,                0.59391,                 1.2812,                0.84911,                 1.2449,             0.00024104,             0.00024104,             0.00024104
                     22,                 1.1679,                0.89857,                 1.1396,                0.86047,                 0.8474,                0.88743,                0.57604,                 1.2616,                0.85462,                 1.2344,             0.00022978,             0.00022978,             0.00022978
                     23,                  1.144,                0.85449,                 1.1239,                0.91569,                0.81974,                0.90728,                 0.6022,                 1.2666,                0.82108,                 1.2245,             0.00021851,             0.00021851,             0.00021851
                     24,                  1.125,                0.85404,                 1.1208,                 0.9023,                0.84059,                0.91166,                0.59777,                 1.2626,                 0.8489,                 1.2394,             0.00020725,             0.00020725,             0.00020725
                     25,                 1.1282,                0.82698,                 1.1181,                 0.9132,                0.86454,                0.91957,                0.60169,                 1.2442,                0.80954,                 1.2175,             0.00019599,             0.00019599,             0.00019599
                     26,                  1.144,                0.83593,                 1.1227,                0.89897,                0.87266,                 0.9196,                0.60946,                 1.2606,                0.81535,                 1.2339,             0.00018473,             0.00018473,             0.00018473
                     27,                 1.1186,                 0.8274,                 1.1113,                0.92467,                0.85561,                0.92373,                0.61159,                 1.2478,                0.78933,                 1.2322,             0.00017347,             0.00017347,             0.00017347
                     28,                 1.1029,                0.80741,                 1.1142,                0.92931,                0.87754,                0.92541,                0.61182,                 1.2362,                0.78117,                 1.2234,             0.00016221,             0.00016221,             0.00016221
                     29,                 1.0881,                0.79393,                 1.0997,                0.91948,                 0.8842,                0.92707,                 0.6093,                  1.253,                0.77248,                 1.2369,             0.00015095,             0.00015095,             0.00015095
                     30,                 1.0828,                 0.7765,                 1.1028,                0.91984,                0.88435,                0.92297,                0.61854,                 1.2347,                0.77802,                 1.2243,             0.00013969,             0.00013969,             0.00013969
                     31,                 1.0516,                 0.7175,                 1.0878,                0.90942,                0.88301,                0.92763,                0.61584,                 1.2349,                0.77086,                 1.2182,             0.00012842,             0.00012842,             0.00012842
                     32,                 1.0319,                 0.6916,                 1.0823,                 0.8974,                0.88948,                0.92957,                0.61778,                 1.2383,                0.75182,                  1.217,             0.00011716,             0.00011716,             0.00011716
                     33,                 1.0132,                0.67909,                 1.0719,                0.90086,                0.90107,                0.92252,                 0.6201,                 1.2166,                0.74233,                 1.2143,              0.0001059,              0.0001059,              0.0001059
                     34,                 1.0056,                0.66496,                 1.0648,                0.91666,                0.88447,                0.92397,                0.62281,                 1.2299,                0.75323,                 1.2195,              9.464e-05,              9.464e-05,              9.464e-05
