                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5951,                 3.2584,                 1.3864,                0.25868,                0.45356,                  0.273,                0.16267,                 1.5878,                  2.136,                 1.4636,             0.00015077,             0.00015077,             0.00015077
                      2,                 1.4077,                 1.9213,                 1.2503,                0.25216,                0.69851,                0.37229,                0.22218,                 1.4707,                 1.7825,                 1.3944,             0.00028747,             0.00028747,             0.00028747
                      3,                 1.3755,                 1.6758,                 1.2338,                0.32882,                0.64939,                 0.4166,                 0.2639,                 1.4114,                 1.6006,                  1.355,             0.00040915,             0.00040915,             0.00040915
                      4,                 1.3366,                 1.5239,                 1.2162,                0.47407,                0.68361,                0.62084,                0.39276,                 1.4285,                 1.5292,                 1.3426,             0.00038743,             0.00038743,             0.00038743
                      5,                 1.3169,                  1.368,                  1.201,                0.74836,                0.74586,                0.78736,                0.51501,                 1.3995,                 1.2685,                 1.3398,             0.00038743,             0.00038743,             0.00038743
                      6,                 1.2956,                 1.2412,                 1.1909,                0.80492,                0.81866,                  0.826,                0.52742,                 1.4049,                 1.2018,                 1.3421,             0.00036491,             0.00036491,             0.00036491
                      7,                 1.2679,                 1.1324,                 1.1838,                0.85541,                0.79452,                0.86552,                 0.5639,                 1.3856,                 1.1837,                  1.324,             0.00034239,             0.00034239,             0.00034239
                      8,                 1.2624,                 1.0552,                 1.1747,                0.84187,                0.82938,                0.88014,                0.57139,                 1.3839,                 1.0889,                 1.3247,             0.00031986,             0.00031986,             0.00031986
                      9,                 1.2512,                 1.0229,                 1.1675,                0.76518,                0.79986,                0.85866,                0.56636,                 1.3617,                  1.101,                 1.2941,             0.00029734,             0.00029734,             0.00029734
                     10,                 1.2327,                0.98161,                 1.1552,                0.90007,                 0.8472,                0.89485,                0.58962,                 1.3338,                 1.0049,                 1.3034,             0.00027482,             0.00027482,             0.00027482
                     11,                 1.1797,                0.87574,                 1.1558,                 0.9029,                 0.8559,                 0.9146,                0.60233,                 1.3557,                 1.0079,                 1.3003,              0.0002523,              0.0002523,              0.0002523
                     12,                 1.1656,                0.83118,                 1.1421,                 0.9182,                0.85318,                0.90491,                0.61341,                 1.3223,                0.92254,                 1.2704,             0.00022978,             0.00022978,             0.00022978
                     13,                 1.1465,                0.78828,                 1.1364,                0.91009,                0.87726,                 0.9173,                   0.61,                 1.3426,                0.90072,                 1.2979,             0.00020725,             0.00020725,             0.00020725
                     14,                  1.117,                0.75591,                 1.1204,                0.92202,                0.87251,                0.92008,                0.60291,                  1.369,                0.88983,                 1.2927,             0.00018473,             0.00018473,             0.00018473
                     15,                 1.0873,                0.73703,                 1.1074,                0.92372,                0.86224,                0.91814,                0.62907,                 1.3115,                0.87031,                 1.2636,             0.00016221,             0.00016221,             0.00016221
                     16,                 1.0694,                0.70727,                 1.0893,                0.94468,                0.87944,                0.93363,                0.64221,                 1.2858,                0.82069,                 1.2616,             0.00013969,             0.00013969,             0.00013969
                     17,                 1.0572,                0.68749,                  1.085,                0.93555,                0.89608,                0.94152,                0.64345,                 1.3051,                0.80972,                  1.274,             0.00011716,             0.00011716,             0.00011716
                     18,                 1.0396,                 0.6737,                 1.0791,                0.94703,                0.87883,                0.93768,                0.64758,                 1.2887,                0.83339,                 1.2654,              9.464e-05,              9.464e-05,              9.464e-05
                     19,                 1.0218,                0.65786,                 1.0728,                  0.943,                0.88804,                0.94132,                0.65416,                 1.2674,                0.80912,                 1.2499,             7.2118e-05,             7.2118e-05,             7.2118e-05
                     20,                 1.0071,                0.64361,                 1.0652,                0.93658,                0.89907,                0.94081,                0.65151,                   1.28,                0.79971,                 1.2489,             4.9595e-05,             4.9595e-05,             4.9595e-05
